,MNDI LN Equity
,GHG_SCOPE_1
2011-12-31,4450.0
2012-12-31,4200.0
2013-12-31,3910.0
2014-12-31,4308.65
2015-12-31,4477.67
2016-12-31,4067.79
2017-12-31,3777.28
2018-12-31,3902.97
2019-12-31,3908.25
2020-12-31,3529.55
2021-12-31,3573.35
