,OMV AV Equity
,GHG_SCOPE_1
2011-12-31,11600.0
2012-12-31,11000.0
2013-12-31,12900.0
2014-12-31,12800.0
2015-12-31,11900.0
2016-12-31,11000.0
2017-12-31,11151.5
2018-12-31,11100.0
2019-12-31,10600.0
2020-12-31,10700.0
2021-12-31,13900.0
