,SBRY LN Equity
,GHG_SCOPE_1
2011-03-19,749.963
2012-03-17,728.324
2013-03-16,678.496
2014-03-15,618.427
2015-03-14,571.673
2016-03-12,601.091
2017-03-11,664.227
2018-03-10,594.374
2019-03-09,563.023
2020-03-07,522.433
2021-03-06,527.173
2022-03-05,516.239
