,BEFB BB Equity
,GHG_SCOPE_1
2013-12-31,15.327
2014-12-31,12.102
2015-12-31,14.805
2016-12-31,12.551
2017-12-31,11.737
2018-12-31,11.707
2019-12-31,10.422
2020-12-31,3.387
2021-12-31,5.055
