,ALMA FH Equity
,GHG_SCOPE_1
2011-12-31,0.64
2012-12-31,0.54
2013-12-31,0.61
2014-12-31,0.44
2015-12-31,0.365
2016-12-31,0.558
2017-12-31,0.579
2018-12-31,0.604
2019-12-31,0.528
2020-12-31,0.275
2021-12-31,0.26
