,SAFE LN Equity
,GHG_SCOPE_1
2013-10-31,0.726
2014-10-31,0.696
2015-10-31,0.659
2016-10-31,0.524
2017-10-31,0.602
2018-10-31,0.906
2019-10-31,0.869
2020-10-31,0.753
2021-10-31,0.793
