,LLOY LN Equity
,GHG_SCOPE_1
2011-12-31,57.179
2012-12-31,49.414
2013-12-31,73.196
2014-12-31,54.169
2015-12-31,58.851
2016-12-31,53.023
2017-12-31,51.935
2018-12-31,49.299
2019-12-31,47.524
2020-12-31,39.107
2021-12-31,37.653
