,SGRO LN Equity
,GHG_SCOPE_1
2011-12-31,3.948
2013-12-31,10.894
2014-12-31,8.848
2015-12-31,5.755
2016-12-31,7.227
2017-12-31,1.726
2018-12-31,1.179
2019-12-31,0.83
2020-12-31,1.401
