,CDI FP Equity
,GHG_SCOPE_1
2011-12-31,41.255
2013-04-30,49.932
2014-06-30,51.271
2015-06-30,48.548
2017-12-31,63.97
2018-12-31,73.94
2019-12-31,67.613
2020-12-31,62.459
2021-12-31,71.055
