,HO FP Equity
,GHG_SCOPE_1
2011-12-31,94.33
2012-12-31,98.0
2013-12-31,88.0
2014-12-31,95.0
2015-12-31,89.0
2016-12-31,82.0
2017-12-31,86.0
2018-12-31,75.0
2019-12-31,78.0
2020-12-31,86.0
2021-12-31,81.0
