,BT/A LN Equity
,GHG_SCOPE_1
2011-03-31,207.0
2012-03-31,196.0
2013-03-31,194.0
2014-03-31,182.0
2015-03-31,178.0
2016-03-31,172.0
2017-03-31,175.0
2018-03-31,183.934
2019-03-31,184.363
2020-03-31,182.565
2021-03-31,180.779
2022-03-31,180.779
