,TCELL TI Equity
,GHG_SCOPE_1
2013-12-31,8.391
2014-12-31,13.471
2015-12-31,15.155
2016-12-31,8.263
2017-12-31,22.653
2018-12-31,54.453
2019-12-31,108.025
2020-12-31,19.409
2021-12-31,4.996
