,PNN LN Equity
,GHG_SCOPE_1
2012-03-31,2127.66
2013-03-31,1934.33
2014-03-31,1223.57
2015-03-31,1105.24
2016-03-31,1351.19
2017-03-31,1576.43
2018-03-31,1797.15
2019-03-31,1573.0
2020-03-31,2042.67
2021-03-31,21.08
2022-03-31,20.243
