,FSJ LN Equity
,GHG_SCOPE_1
2013-12-31,81.0
2014-12-31,75.6
2015-12-31,67.6
2016-12-31,86.8
2017-12-31,86.4
2018-12-31,97.4
2019-12-31,92.9
2020-12-31,79.6
2021-12-31,113.2
