,ADS GR Equity
,GHG_SCOPE_1
2011-12-31,12.0
2012-12-31,12.17
2013-12-31,12.249
2014-12-31,13.05
2017-12-31,11.702
2018-12-31,12.379
2019-12-31,6.62
2020-12-31,6.748
2021-12-31,12.908
