,BNP FP Equity
,GHG_SCOPE_1
2011-12-31,82.995
2012-12-31,70.319
2013-12-31,67.076
2014-12-31,60.45
2015-12-31,55.085
2016-12-31,62.45
2017-12-31,65.423
2018-12-31,62.149
2019-12-31,61.187
2020-12-31,49.041
2021-12-31,50.144
