,ADEN SW Equity
,GHG_SCOPE_1
2011-12-31,81.423
2012-12-31,51.562
2013-12-31,39.551
2014-12-31,54.422
2015-12-31,49.843
2016-12-31,51.647
2017-12-31,59.936
2018-12-31,64.164
2019-12-31,55.716
2020-12-31,32.408
2021-12-31,30.599
