,AAL LN Equity
,GHG_SCOPE_1
2011-12-31,9360.0
2012-12-31,8480.0
2013-12-31,7280.0
2014-12-31,7970.0
2015-12-31,8700.0
2016-12-31,8900.0
2017-12-31,9900.0
2018-12-31,9700.0
2019-12-31,10900.0
2020-12-31,9950.0
2021-12-31,9020.0
