,EDP PL Equity
,GHG_SCOPE_1
2011-12-31,16957.0
2012-12-31,18046.0
2013-12-31,16669.0
2014-12-31,16551.0
2015-12-31,21550.0
2016-12-31,18931.0
2017-12-31,23159.0
2018-12-31,18429.0
2019-12-31,14363.0
2020-12-31,9311.0
