,TATE LN Equity
,GHG_SCOPE_1
2014-03-31,2292.0
2015-03-31,2266.98
2016-03-31,2159.05
2017-03-31,1975.06
2018-03-31,1949.25
2019-03-31,1930.0
2020-03-31,1995.0
2021-03-31,1866.0
2022-03-31,1688.51
