,ITV LN Equity
,GHG_SCOPE_1
2013-12-31,17.117
2014-12-31,11.18
2015-12-31,8.294
2016-12-31,7.793
2017-12-31,6.684
2018-12-31,6.77
2019-12-31,9.111
2020-12-31,2.554
2021-12-31,2.406
