,LSEG LN Equity
,GHG_SCOPE_1
2011-03-31,0.621
2012-03-31,0.679
2013-03-31,1.083
2014-12-31,1.284
2015-12-31,1.173
2016-12-31,1.583
2017-12-31,1.918
2018-12-31,1.414
2019-12-31,1.816
2020-12-31,2.67
