,CDA FP Equity
,GHG_SCOPE_1
2012-09-30,29.212
2013-09-30,30.897
2014-09-30,23.288
2015-09-30,24.465
2016-09-30,26.086
2017-09-30,26.717
2018-09-30,27.452
2019-09-30,27.355
2020-09-30,22.396
2021-09-30,11.731
