,FGP LN Equity
,GHG_SCOPE_1
2011-03-31,2589.48
2012-03-31,2672.14
2013-03-31,2592.29
2014-03-31,2477.34
2015-03-31,2481.54
2016-03-31,2298.29
2017-03-31,2338.16
2018-03-31,2308.92
2019-03-31,2344.77
2020-03-31,2111.2
2021-03-27,1214.77
2022-03-26,599.869
