,EBRO SM Equity
,GHG_SCOPE_1
2011-12-31,139.776
2012-12-31,110.004
2013-12-31,161.456
2014-12-31,180.653
2015-12-31,139.45
2016-12-31,174.221
2017-12-31,191.256
2018-12-31,186.993
2019-12-31,199.893
2020-12-31,234.016
2021-12-31,217.051
