,YAR NO Equity
,GHG_SCOPE_1
2011-12-31,11200.0
2012-12-31,12300.0
2013-12-31,12600.0
2014-12-31,11600.0
2015-12-31,12300.0
2016-12-31,12400.0
2017-12-31,15100.0
2018-12-31,16600.0
2019-12-31,17100.0
2020-12-31,16600.0
2021-12-31,16500.0
