,VIV FP Equity
,GHG_SCOPE_1
2011-12-31,48.0
2012-12-31,46.304
2013-12-31,73.047
2014-12-31,35.833
2015-12-31,7.451
2016-12-31,8.4
2017-12-31,8.013
2018-12-31,17.481
2019-12-31,14.185
2020-12-31,15.263
2021-12-31,14.764
