,FOXT LN Equity
,GHG_SCOPE_1
2013-12-31,2.601
2014-12-31,2.842
2015-12-31,3.035
2016-12-31,2.773
2017-12-31,2.388
2018-12-31,2.267
2019-12-31,2.176
2020-12-31,1.103
2021-12-31,1.493
