,RAT LN Equity
,GHG_SCOPE_1
2011-12-31,0.28
2012-12-31,0.282
2013-12-31,0.304
2014-12-31,0.312
2015-12-31,0.303
2016-12-31,0.357
2017-12-31,0.321
2018-12-31,0.328
2019-12-31,0.322
2020-12-31,0.198
2021-12-31,0.411
