,CRBN NA Equity
,GHG_SCOPE_1
2011-12-31,122.0
2012-12-31,155.0
2013-12-31,99.0
2014-12-31,92.0
2015-12-31,92.0
2016-12-31,94.0
2017-12-31,92.0
2018-12-31,94.0
2019-12-31,101.0
2020-12-31,113.925
2021-12-31,106.322
