,NESN SW Equity
,GHG_SCOPE_1
2011-12-31,3810.0
2012-12-31,3710.0
2013-12-31,3990.0
2014-12-31,3810.0
2015-12-31,3704.35
2016-12-31,3607.9
2017-12-31,3532.06
2018-12-31,3349.81
2019-12-31,3291.3
2020-12-31,3300.0
2021-12-31,3370.0
