,ATEA NO Equity
,GHG_SCOPE_1
2011-12-31,5.318
2012-12-31,5.872
2013-12-31,6.109
2014-12-31,5.615
2015-12-31,5.863
2016-12-31,4.454
2017-12-31,3.937
2018-12-31,4.021
2019-12-31,3.807
2020-12-31,3.439
2021-12-31,3.407
