,RNO FP Equity
,GHG_SCOPE_1
2011-12-31,607.0
2012-12-31,634.0
2013-12-31,634.204
2014-12-31,577.474
2015-12-31,662.478
2016-12-31,716.305
2017-12-31,674.96
2018-12-31,663.344
2019-12-31,626.947
2020-12-31,498.611
2021-12-31,517.003
