,HSV LN Equity
,GHG_SCOPE_1
2014-03-31,6.629
2015-03-31,6.815
2016-03-31,7.783
2017-03-31,8.835
2018-03-31,11.366
2019-03-31,12.899
2020-03-31,12.022
2021-03-31,13.698
2022-03-31,19.725
