,MERY FP Equity
,GHG_SCOPE_1
2012-12-31,4.166
2013-12-31,4.537
2014-12-31,3.41
2015-12-31,4.006
2016-12-31,3.319
2017-12-31,2.566
2018-12-31,2.194
2019-12-31,2.203
2020-12-31,1.945
2021-12-31,2.028
