,A2A IM Equity
,GHG_SCOPE_1
2011-12-31,5079.24
2012-12-31,5124.05
2013-12-31,6862.0
2014-12-31,5893.04
2015-12-31,7658.39
2016-12-31,6983.5
2017-12-31,8057.01
2018-12-31,7491.4
2019-12-31,6948.46
2020-12-31,5855.4
2021-12-31,7298.0
