,EDPR PL Equity
,GHG_SCOPE_1
2011-12-31,2.953
2012-12-31,2.344
2013-12-31,2.4
2014-12-31,0.283
2015-12-31,2.31
2016-12-31,2.11
2017-12-31,1.6
2018-12-31,2.77
2019-12-31,2.37
2020-12-31,2.41
2021-12-31,2.62
