,UTG LN Equity
,GHG_SCOPE_1
2011-12-31,6.664
2012-12-31,6.446
2013-12-31,5.362
2014-12-31,4.394
2015-12-31,5.373
2016-12-31,5.825
2017-12-31,6.094
2018-12-31,6.851
2019-12-31,7.397
2020-12-31,10.328
2021-12-31,11.009
