,RE FP Equity
,GHG_SCOPE_1
2014-12-31,2000.0
2015-12-31,1700.0
2016-12-31,2000.0
2017-12-31,1700.0
2018-12-31,1700.0
2019-12-31,1800.0
2020-12-31,1700.0
2021-12-31,1800.0
