,RPS LN Equity
,GHG_SCOPE_1
2012-12-31,5.193
2013-12-31,7.223
2014-12-31,6.881
2015-12-31,8.122
2016-12-31,9.399
2017-12-31,9.435
2018-12-31,10.466
2019-12-31,9.074
2020-12-31,6.235
2021-12-31,5.846
