,EN FP Equity
,GHG_SCOPE_1
2011-12-31,2000.0
2012-12-31,213.8
2013-12-31,2169.6
2014-12-31,2208.0
2015-12-31,1900.0
2016-12-31,2225.0
2017-12-31,1903.0
2018-12-31,2033.0
2019-12-31,2018.4
2020-12-31,1870.0
2021-12-31,1980.0
