,ELUXB SS Equity
,GHG_SCOPE_1
2011-12-31,362.548
2012-12-31,408.988
2013-12-31,369.982
2014-12-31,334.894
2015-12-31,351.0
2016-12-31,294.0
2017-12-31,337.0
2018-12-31,165.0
2019-12-31,136.0
2020-12-31,74.0
2021-12-31,82.846
