,TRN IM Equity
,GHG_SCOPE_1
2011-12-31,64.922
2012-12-31,70.007
2013-12-31,64.743
2014-12-31,75.28
2015-12-31,66.799
2016-12-31,61.992
2017-12-31,75.815
2018-12-31,63.022
2019-12-31,68.404
2020-12-31,56.203
2021-12-31,68.942
