,SRP LN Equity
,GHG_SCOPE_1
2013-12-31,187.217
2014-12-31,173.441
2015-12-31,162.198
2016-12-31,182.819
2017-12-31,174.289
2018-12-31,176.254
2019-12-31,181.413
2020-12-31,165.259
2021-12-31,165.417
