,VOD LN Equity
,GHG_SCOPE_1
2014-03-31,420.0
2015-03-31,370.0
2016-03-31,410.0
2017-03-31,400.0
2018-03-31,380.0
2019-03-31,260.0
2020-03-31,280.0
2021-03-31,270.0
2022-03-31,276.936
