,CTY1S FH Equity
,GHG_SCOPE_1
2011-12-31,0.185
2012-12-31,0.539
2013-12-31,0.909
2014-12-31,0.65
2015-12-31,0.489
2016-12-31,0.603
2017-12-31,0.496
2018-12-31,0.561
2019-12-31,0.679
2020-12-31,0.588
2021-12-31,1.242
