,MGNS LN Equity
,GHG_SCOPE_1
2013-12-31,32.878
2014-12-31,25.244
2015-12-31,23.506
2016-12-31,17.201
2017-12-31,19.559
2018-12-31,19.934
2019-12-31,18.124
2020-12-31,16.031
2021-12-31,11.243
