,DCC LN Equity
,GHG_SCOPE_1
2011-03-31,92.038
2012-03-31,94.207
2013-03-31,101.111
2014-03-31,103.0
2015-03-31,102.0
2016-03-31,97.0
2017-03-31,97.0
2018-03-31,73.0
2019-03-31,79.0
2020-03-31,78.0
2021-03-31,77.0
2022-03-31,84.0
