,HUH1V FH Equity
,GHG_SCOPE_1
2013-12-31,191.525
2014-12-31,188.0
2015-12-31,191.0
2016-12-31,198.0
2017-12-31,207.0
2018-12-31,207.0
2019-12-31,219.0
2020-12-31,216.0
2021-12-31,221.0
