,CINE LN Equity
,GHG_SCOPE_1
2013-12-26,15.92
2015-01-01,22.144
2015-12-31,22.494
2016-12-31,25.854
2017-12-31,22.385
2018-12-31,52.029
2019-12-31,70.053
2020-12-31,45.557
2021-12-31,31.409
