,MAERSKB DC Equity
,GHG_SCOPE_1
2011-12-31,40255.0
2012-12-31,37943.0
2013-12-31,33692.0
2014-12-31,32406.0
2015-12-31,33044.0
2016-12-31,35917.0
2017-12-31,35579.0
2018-12-31,38826.0
2019-12-31,36204.0
2020-12-31,33902.0
2021-12-31,36863.0
