,WCH GR Equity
,GHG_SCOPE_1
2011-12-31,1347.0
2012-12-31,1323.59
2013-12-31,1268.1
2014-12-31,1281.26
2015-12-31,1234.0
2016-12-31,1348.0
2017-12-31,1528.0
2018-12-31,1314.0
2019-12-31,1166.0
2020-12-31,1285.0
2021-12-31,1290.85
