,ITRK LN Equity
,GHG_SCOPE_1
2013-12-31,66.598
2014-12-31,60.151
2015-12-31,63.728
2016-12-31,72.096
2017-12-31,60.135
2018-12-31,55.386
2019-12-31,64.951
2020-12-31,63.125
2021-12-31,59.952
