,EQNR NO Equity
,GHG_SCOPE_1
2011-12-31,14436.0
2012-12-31,16000.0
2013-12-31,16000.0
2014-12-31,16300.0
2015-12-31,16300.0
2016-12-31,15400.0
2017-12-31,15400.0
2018-12-31,14900.0
2019-12-31,14700.0
2020-12-31,13300.0
2021-12-31,12009.6
