,GNS LN Equity
,GHG_SCOPE_1
2013-06-30,62.719
2014-06-30,83.409
2015-06-30,68.562
2016-06-30,64.655
2017-06-30,74.339
2018-06-30,67.65
2019-06-30,65.517
2020-06-30,98.74
2021-06-30,74.94
