,PAF LN Equity
,GHG_SCOPE_1
2013-06-30,2.606
2014-06-30,4.245
2015-06-30,4.53
2016-06-30,4.32
2017-06-30,7.797
2018-06-30,4.314
2019-06-30,5.475
2020-06-30,6.907
2021-06-30,8.106
