,MRK GR Equity
,GHG_SCOPE_1
2011-12-31,317.0
2012-12-31,319.0
2013-12-31,343.0
2014-12-31,323.0
2015-12-31,327.0
2016-12-31,386.0
2017-12-31,374.0
2018-12-31,354.0
2019-12-31,359.129
2020-12-31,1706.3
2021-12-31,1522.21
