,AOX GR Equity
,GHG_SCOPE_1
2011-12-31,0.039
2012-12-31,0.029
2013-12-31,0.008
2014-12-31,0.014
2015-12-31,0.013
2016-12-31,0.017
2017-12-31,0.018
2018-12-31,0.017
2019-12-31,0.016
2020-12-31,0.016
