,JUP LN Equity
,GHG_SCOPE_1
2013-12-31,0.124
2014-12-31,0.211
2015-12-31,0.182
2016-12-31,0.23
2017-12-31,0.152
2018-12-31,0.086
2019-12-31,0.096
2020-12-31,0.088
2021-12-31,0.121
