,KGF LN Equity
,GHG_SCOPE_1
2011-01-29,141.7
2012-01-28,119.026
2013-02-02,146.819
2014-02-01,164.173
2015-01-31,142.349
2016-01-31,156.062
2017-01-31,153.553
2018-01-31,156.066
2019-01-31,156.678
2020-01-31,148.654
2021-01-31,139.326
2022-01-31,153.133
