,WG/ LN Equity
,GHG_SCOPE_1
2013-12-31,118.439
2014-12-31,36.189
2015-12-31,23.319
2016-12-31,18.964
2017-12-31,19.907
2018-12-31,415.613
2019-12-31,463.462
2020-12-31,86.026
2021-12-31,46.667
