,TTE FP Equity
,GHG_SCOPE_1
2011-12-31,46000.0
2012-12-31,47000.0
2013-12-31,46000.0
2014-12-31,44000.0
2015-12-31,41800.0
2016-12-31,39400.0
2017-12-31,36200.0
2018-12-31,40475.699
2019-12-31,40661.602
2020-12-31,35569.898
2021-12-31,33300.0
