,TPK LN Equity
,GHG_SCOPE_1
2012-12-31,129.183
2013-12-31,136.614
2014-12-31,132.295
2015-12-31,138.859
2016-12-31,139.434
2017-12-31,129.756
2018-12-31,131.284
2019-12-31,116.689
2020-12-31,89.013
