,VP/ LN Equity
,GHG_SCOPE_1
2014-03-31,12.303
2015-03-31,13.091
2016-03-31,13.138
2017-03-31,13.701
2018-03-31,16.622
2019-03-31,21.2
2020-03-31,15.738
2021-03-31,12.557
2022-03-31,13.431
